patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US186169A,1877-01-09,John s ,"['John', 's']","[('John', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US186750A,1877-01-30,Stephen s ,"['Stephen', 's']","[('Stephen', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US186824A,1877-01-30,Anton g-abtenmann ,"['Anton', 'g-abtenmann']","[('Anton', 'NNP'), ('g-abtenmann', 'NN')]",1,"['PROPN', 'PROPN', 'PUNCT', 'PROPN']",['PERSON'],1,1,4
US187046A,1877-02-06,Geqege peichaed and john kienaedt ,"['Geqege', 'peichaed', 'and', 'john', 'kienaedt']","[('Geqege', 'NNP'), ('peichaed', 'NN'), ('and', 'CC'), ('john', 'NN'), ('kienaedt', 'NN')]",1,"['NOUN', 'NOUN', 'CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,5
US187162A,1877-02-06,William momueteie ,"['William', 'momueteie']","[('William', 'NNP'), ('momueteie', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US187350A,1877-02-13,Bpheaim k ,"['Bpheaim', 'k']","[('Bpheaim', 'NNP'), ('k', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US187436A,1877-02-13,webster ,['webster'],"[('webster', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US187472A,1877-02-20,john s ,"['john', 's']","[('john', 'NN'), ('s', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US187652A,1877-02-20,Walter maolellan and john p ,"['Walter', 'maolellan', 'and', 'john', 'p']","[('Walter', 'NNP'), ('maolellan', 'NN'), ('and', 'CC'), ('john', 'NN'), ('p', 'NN')]",1,"['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN']",['PERSON'],1,1,5
US187756A,1877-02-27,Wobtht ,['Wobtht'],"[('Wobtht', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US187881A,1877-02-27,Alexander manbbe ,"['Alexander', 'manbbe']","[('Alexander', 'NNP'), ('manbbe', 'NN')]",1,"['NOUN', 'NOUN']",['PERSON'],0,1,2
US187975A,1877-03-06,William a ,"['William', 'a']","[('William', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US188373A,1877-03-13,jones  ,['jones'],"[('jones', 'NNS')]",0,"['PROPN', 'SPACE']",['PERSON'],1,1,2
US188401A,1877-03-13,George obtel ,"['George', 'obtel']","[('George', 'NNP'), ('obtel', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US188404A,1877-03-13,Charles b ,"['Charles', 'b']","[('Charles', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US188414A,1877-03-13,conrad h ,"['conrad', 'h']","[('conrad', 'NN'), ('h', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US188416A,1877-03-13,John jambs royle ,"['John', 'jambs', 'royle']","[('John', 'NNP'), ('jambs', 'NNS'), ('royle', 'VBP')]",1,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3
US188437A,1877-03-13,Hundredths to charles diehl ,"['Hundredths', 'to', 'charles', 'diehl']","[('Hundredths', 'NNS'), ('to', 'TO'), ('charles', 'NNS'), ('diehl', 'VB')]",0,"['NOUN', 'ADP', 'PROPN', 'VERB']",['PERSON'],1,1,4
US188543A,1877-03-20,James e ,"['James', 'e']","[('James', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US188669A,1877-03-20,Jambs m ,"['Jambs', 'm']","[('Jambs', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US188769A,1877-03-27,Alexander beckers ,"['Alexander', 'beckers']","[('Alexander', 'NN'), ('beckers', 'NNS')]",0,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US188980A,1877-03-27,Henry stbiewlg ,"['Henry', 'stbiewlg']","[('Henry', 'NNP'), ('stbiewlg', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US189167A,1877-04-03,James e ,"['James', 'e']","[('James', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US189235A,1877-04-03,oowlton ,['oowlton'],"[('oowlton', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US189239A,1877-04-03,Thomas libby ,"['Thomas', 'libby']","[('Thomas', 'NNP'), ('libby', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US189505A,1877-04-10,William scully ,"['William', 'scully']","[('William', 'NNP'), ('scully', 'RB')]",1,"['PROPN', 'ADV']",['PERSON'],1,1,2
US189551A,1877-04-17,John j ,"['John', 'j']","[('John', 'NNP'), ('j', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US189600A,1877-04-17,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US189755A,1877-04-17,Feancis leclebe ,"['Feancis', 'leclebe']","[('Feancis', 'NNP'), ('leclebe', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US189922A,1877-04-24,Im provem eisit in shuttle-box mechanisms for looms ,"['Im', 'provem', 'eisit', 'in', 'shuttle-box', 'mechanisms', 'for', 'looms']","[('Im', 'NNP'), ('provem', 'NN'), ('eisit', 'NN'), ('in', 'IN'), ('shuttle-box', 'JJ'), ('mechanisms', 'NNS'), ('for', 'IN'), ('looms', 'NNS')]",1,"['PRON', 'VERB', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN']",['PERSON'],1,1,11
US190052A,1877-04-24,allen ,['allen'],"[('allen', 'NN')]",0,['VERB'],['PERSON'],0,1,1
US190104A,1877-04-24,Xx ximrrov ,"['Xx', 'ximrrov']","[('Xx', 'NN'), ('ximrrov', 'NN')]",0,"['PROPN', 'INTJ']",['PERSON'],1,1,2
US190127A,1877-05-01,John bullough ,"['John', 'bullough']","[('John', 'NNP'), ('bullough', 'NN')]",1,"['PROPN', 'ADV']",['PERSON'],1,1,2
US190138A,1877-05-01,Michael seines ,"['Michael', 'seines']","[('Michael', 'NNP'), ('seines', 'NNS')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US190161A,1877-05-01,Charles h ,"['Charles', 'h']","[('Charles', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US190372A,1877-05-01,William t ,"['William', 't']","[('William', 'NNP'), ('t', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US190429A,1877-05-08,Jwiprovemewt im windmills ,"['Jwiprovemewt', 'im', 'windmills']","[('Jwiprovemewt', 'NNP'), ('im', 'NN'), ('windmills', 'NNS')]",1,"['PROPN', 'PRON', 'VERB', 'NOUN']",['PERSON'],1,1,4
