patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US4744A,1846-09-05 00:00:00,Stove ,['Stove'],"[('Stove', 'VB')]",0,['PROPN'],[],1,0,1
US4754A,1846-09-12 00:00:00,Hviprovement in curing meat ,"['Hviprovement', 'in', 'curing', 'meat']","[('Hviprovement', 'NN'), ('in', 'IN'), ('curing', 'VBG'), ('meat', 'NN')]",0,"['PROPN', 'ADP', 'VERB', 'NOUN']",[],1,0,4
US4755A,1846-09-12 00:00:00,Jesse fitzgerald ,"['Jesse', 'fitzgerald']","[('Jesse', 'NNP'), ('fitzgerald', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US4756A,1846-09-12 00:00:00,m-abston ,['m-abston'],"[('m-abston', 'NN')]",0,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3
US4761A,1846-09-15 00:00:00,Steelyard ,['Steelyard'],"[('Steelyard', 'NN')]",0,['PROPN'],[],1,0,1
US4765A,1846-09-19 00:00:00,Daniel barnum ,"['Daniel', 'barnum']","[('Daniel', 'NNP'), ('barnum', 'NN')]",1,"['PROPN', 'NOUN']",[],1,0,2
US4774A,1846-09-26 00:00:00,Kilbt-dbying geain ,"['Kilbt-dbying', 'geain']","[('Kilbt-dbying', 'NNP'), ('geain', 'NN')]",1,"['PROPN', 'PUNCT', 'VERB', 'NOUN']",['ORG'],1,0,4
US4775A,1846-09-26 00:00:00,Carbiagke-bkake ,['Carbiagke-bkake'],"[('Carbiagke-bkake', 'NN')]",0,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3
US4777A,1846-09-26 00:00:00,Kimf-drying grain ,"['Kimf-drying', 'grain']","[('Kimf-drying', 'NNP'), ('grain', 'NN')]",1,"['PROPN', 'PUNCT', 'VERB', 'NOUN']",[],1,0,4
US4778A,1846-09-26 00:00:00,Improvement in cardi ng ,"['Improvement', 'in', 'cardi', 'ng']","[('Improvement', 'NN'), ('in', 'IN'), ('cardi', 'NN'), ('ng', 'NN')]",0,"['NOUN', 'ADP', 'PROPN', 'PROPN']",[],1,0,4
US4781A,1846-10-03 00:00:00,James richards ,"['James', 'richards']","[('James', 'NNP'), ('richards', 'NNS')]",1,"['PROPN', 'NOUN']",[],1,0,2
US4798A,1846-10-07 00:00:00,Apparatus foe constructing cisterns ,"['Apparatus', 'foe', 'constructing', 'cisterns']","[('Apparatus', 'NNP'), ('foe', 'NN'), ('constructing', 'VBG'), ('cisterns', 'NNS')]",1,"['PROPN', 'VERB', 'VERB', 'NOUN']",[],1,0,4
US4811A,1846-10-10 00:00:00,Rogers  ,['Rogers'],"[('Rogers', 'NNS')]",0,"['PROPN', 'SPACE']",[],1,0,2
US4815A,1846-10-17 00:00:00,Foster  ,['Foster'],"[('Foster', 'NN')]",0,"['PROPN', 'SPACE']",[],1,0,2
US4816A,1846-10-17 00:00:00,Bell machinery for hotels ,"['Bell', 'machinery', 'for', 'hotels']","[('Bell', 'NNP'), ('machinery', 'NN'), ('for', 'IN'), ('hotels', 'NNS')]",1,"['PROPN', 'NOUN', 'ADP', 'NOUN']",['ORG'],1,0,4
US4821A,1846-10-21 00:00:00,Josiah c ,"['Josiah', 'c']","[('Josiah', 'NNP'), ('c', 'NN')]",1,"['PROPN', 'X']",[],1,0,2
US4829A,1846-10-29 00:00:00,Boeing and cutting screws on bedsteads ,"['Boeing', 'and', 'cutting', 'screws', 'on', 'bedsteads']","[('Boeing', 'NNP'), ('and', 'CC'), ('cutting', 'VBG'), ('screws', 'NNS'), ('on', 'IN'), ('bedsteads', 'NNS')]",1,"['PROPN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN']",['ORG'],1,0,6
US4840A,1846-11-06 00:00:00,bagley ,['bagley'],"[('bagley', 'NN')]",0,['PROPN'],[],1,0,1
US4843A,1846-11-10 00:00:00,Thomas rowand ,"['Thomas', 'rowand']","[('Thomas', 'NNP'), ('rowand', 'NN')]",1,"['PROPN', 'ADV']",[],1,0,2
US4846A,1846-11-10 00:00:00,Kotaey shears ,"['Kotaey', 'shears']","[('Kotaey', 'NNP'), ('shears', 'NNS')]",1,"['PROPN', 'NOUN']",['NORP'],1,0,2
US4847A,1846-11-12 00:00:00,stafford ,['stafford'],"[('stafford', 'NN')]",0,['PROPN'],[],1,0,1
US4849A,1846-11-12 00:00:00,Coitee-koasteb ,['Coitee-koasteb'],"[('Coitee-koasteb', 'NN')]",0,"['PROPN', 'PUNCT', 'PROPN']",[],1,0,3
US4852A,1846-11-14 00:00:00,Cidee-mill ,['Cidee-mill'],"[('Cidee-mill', 'NN')]",0,"['PROPN', 'PUNCT', 'NOUN']",[],1,0,3
