patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US133254A,1872-11-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133268A,1872-11-19,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133302A,1872-11-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133385A,1872-11-26,nickoll ,['nickoll'],"[('nickoll', 'NN')]",0,['VERB'],[],0,0,1,0
US133452A,1872-11-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133469A,1872-11-26,mcgrew ,['mcgrew'],"[('mcgrew', 'NN')]",0,['VERB'],[],0,0,1,0
US133497A,1872-11-26,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133616A,1872-12-03,Setts ,['Setts'],"[('Setts', 'NN')]",0,['NOUN'],[],0,0,1,0
US133625A,1872-12-03,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US133673A,1872-12-03,Reversible ,['Reversible'],"[('Reversible', 'JJ')]",0,['ADJ'],[],0,0,1,0
US133725A,1872-12-10,scholfield ,['scholfield'],"[('scholfield', 'NN')]",0,['VERB'],[],0,0,1,0
US133857A,1872-12-10,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US134018A,1872-12-17,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134078A,1872-12-17,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134163A,1872-12-24,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134168A,1872-12-24,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134210A,1872-12-24,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134336A,1872-12-24,welter ,['welter'],"[('welter', 'NN')]",0,['VERB'],[],0,0,1,0
US134356A,1872-12-31,bueen ,['bueen'],"[('bueen', 'NN')]",0,['ADV'],[],0,0,1,0
US134366A,1872-12-31,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134382A,1872-12-31,hovey ,['hovey'],"[('hovey', 'NN')]",0,['VERB'],[],0,0,1,0
US134384A,1872-12-31,Umited ,['Umited'],"[('Umited', 'VBN')]",0,['ADJ'],[],0,0,1,0
US134406A,1872-12-31,weener ,['weener'],"[('weener', 'NN')]",0,['NOUN'],[],0,0,1,0
US134410A,1872-12-31,willging ,['willging'],"[('willging', 'VBG')]",0,['VERB'],[],0,0,1,0
US134430A,1872-12-31,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134455A,1872-12-31,ashfillb ,['ashfillb'],"[('ashfillb', 'NN')]",0,['NOUN'],[],0,0,1,0
US134463A,1872-12-31,coles ,['coles'],"[('coles', 'NNS')]",0,['VERB'],[],0,0,1,0
US134469A,1872-12-31,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134534A,1873-01-07,Island ,['Island'],"[('Island', 'NN')]",0,['NOUN'],[],0,0,1,0
US134592A,1873-01-07,dedeeick ,['dedeeick'],"[('dedeeick', 'NN')]",0,['VERB'],[],0,0,1,0
US134596A,1873-01-07,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US134605A,1873-01-07,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
