patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US64541A,1867-05-07,Watson kino ,"['Watson', 'kino']","[('Watson', 'NNP'), ('kino', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64542A,1867-05-07,knight ,['knight'],"[('knight', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64550A,1867-05-07,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64552A,1867-05-07,milliken ,['milliken'],"[('milliken', 'NN')]",0,['VERB'],['PERSON'],0,1,1
US64557A,1867-05-07,Peter m ,"['Peter', 'm']","[('Peter', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64563A,1867-05-07,Edward phife ,"['Edward', 'phife']","[('Edward', 'NNP'), ('phife', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64564A,1867-05-07,Leoncb picot ,"['Leoncb', 'picot']","[('Leoncb', 'NNP'), ('picot', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64565A,1867-05-07,powell ,['powell'],"[('powell', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64574A,1867-05-07,Charles f ,"['Charles', 'f']","[('Charles', 'NNP'), ('f', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US64578A,1867-05-07,Mark saffokd ,"['Mark', 'saffokd']","[('Mark', 'NNP'), ('saffokd', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64588A,1867-05-07,smith ,['smith'],"[('smith', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64594A,1867-05-07,Joseph tattersall ,"['Joseph', 'tattersall']","[('Joseph', 'NNP'), ('tattersall', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64597A,1867-05-07,John h ,"['John', 'h']","[('John', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64613A,1867-05-07,Thomas h ,"['Thomas', 'h']","[('Thomas', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64616A,1867-05-07,Gurdon g ,"['Gurdon', 'g']","[('Gurdon', 'NNP'), ('g', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64618A,1867-05-14,William alexander of union yalley ,"['William', 'alexander', 'of', 'union', 'yalley']","[('William', 'NNP'), ('alexander', 'NN'), ('of', 'IN'), ('union', 'NN'), ('yalley', 'NN')]",1,"['PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN']",['PERSON'],1,1,5
US64621A,1867-05-14,Edward p ,"['Edward', 'p']","[('Edward', 'NNP'), ('p', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64623A,1867-05-14,Keinhold boeklen ,"['Keinhold', 'boeklen']","[('Keinhold', 'NNP'), ('boeklen', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64628A,1867-05-14,David carkoll ,"['David', 'carkoll']","[('David', 'NNP'), ('carkoll', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64631A,1867-05-14,Thomas g ,"['Thomas', 'g']","[('Thomas', 'NNP'), ('g', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64638A,1867-05-14,Francis cetjickshank ,"['Francis', 'cetjickshank']","[('Francis', 'NNP'), ('cetjickshank', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64642A,1867-05-14,Selfund moses harris ,"['Selfund', 'moses', 'harris']","[('Selfund', 'NN'), ('moses', 'NNS'), ('harris', 'VBP')]",0,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3
US64658A,1867-05-14,Charles r ,"['Charles', 'r']","[('Charles', 'NNP'), ('r', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64667A,1867-05-14,James h a t c h ,"['James', 'h', 'a', 't', 'c', 'h']","[('James', 'NNP'), ('h', 'VBZ'), ('a', 'DT'), ('t', 'JJ'), ('c', 'NN'), ('h', 'NN')]",1,"['PROPN', 'NOUN', 'DET', 'NOUN', 'NOUN', 'NOUN']",['PERSON'],1,1,6
US64669A,1867-05-14,John higbib ,"['John', 'higbib']","[('John', 'NNP'), ('higbib', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64670A,1867-05-14,To themselves and james m ,"['To', 'themselves', 'and', 'james', 'm']","[('To', 'TO'), ('themselves', 'PRP'), ('and', 'CC'), ('james', 'NNS'), ('m', 'VBP')]",0,"['ADP', 'PRON', 'CCONJ', 'PROPN', 'VERB']",['PERSON'],1,1,5
US64673A,1867-05-14,James g ,"['James', 'g']","[('James', 'NNP'), ('g', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64676A,1867-05-14,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64678A,1867-05-14,Charles leavitt ,"['Charles', 'leavitt']","[('Charles', 'NNP'), ('leavitt', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64683A,1867-05-14,mason and joseph messinger ,"['mason', 'and', 'joseph', 'messinger']","[('mason', 'NN'), ('and', 'CC'), ('joseph', 'NN'), ('messinger', 'NN')]",0,"['PROPN', 'CCONJ', 'PROPN', 'PROPN']","['ORG', 'PERSON']",1,1,4
US64686A,1867-05-14,Frederick meter ,"['Frederick', 'meter']","[('Frederick', 'NNP'), ('meter', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64688A,1867-05-14,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64689A,1867-05-14,Thomas s ,"['Thomas', 's']","[('Thomas', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64691A,1867-05-14,Henry m ,"['Henry', 'm']","[('Henry', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64692A,1867-05-14,John neff ,"['John', 'neff']","[('John', 'NNP'), ('neff', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64693A,1867-05-14,Thomas l ,"['Thomas', 'l']","[('Thomas', 'NNP'), ('l', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64695A,1867-05-14,Edward a ,"['Edward', 'a']","[('Edward', 'NNP'), ('a', 'DT')]",1,"['PROPN', 'PRON']",['PERSON'],1,1,2
US64696A,1867-05-14,William onions ,"['William', 'onions']","[('William', 'NNP'), ('onions', 'NNS')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64700A,1867-05-14,John w ,"['John', 'w']","[('John', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64702A,1867-05-14,pkuden ,['pkuden'],"[('pkuden', 'NN')]",0,['VERB'],['PERSON'],0,1,1
US64704A,1867-05-14,William qfayle ,"['William', 'qfayle']","[('William', 'NNP'), ('qfayle', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64717A,1867-05-14,David shive ,"['David', 'shive']","[('David', 'NNP'), ('shive', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64718A,1867-05-14,taylor ,['taylor'],"[('taylor', 'NN')]",0,['PROPN'],['PERSON'],1,1,1
US64725A,1867-05-14,John van ,"['John', 'van']","[('John', 'NNP'), ('van', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64735A,1867-05-14,Calvin bakes ,"['Calvin', 'bakes']","[('Calvin', 'NNP'), ('bakes', 'NNS')]",1,"['NOUN', 'VERB']",['PERSON'],0,1,2
US64742A,1867-05-14,Arthur william browne ,"['Arthur', 'william', 'browne']","[('Arthur', 'NNP'), ('william', 'NN'), ('browne', 'NN')]",1,"['PROPN', 'PROPN', 'PROPN']",['PERSON'],1,1,3
US64747A,1867-05-14,Andrew carson ,"['Andrew', 'carson']","[('Andrew', 'NNP'), ('carson', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64751A,1867-05-14,John b ,"['John', 'b']","[('John', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64757A,1867-05-14,George b ,"['George', 'b']","[('George', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64760A,1867-05-14,William geiffeth ,"['William', 'geiffeth']","[('William', 'NNP'), ('geiffeth', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64764A,1867-05-14,Andrew hartman ,"['Andrew', 'hartman']","[('Andrew', 'NNP'), ('hartman', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64768A,1867-05-14,John s ,"['John', 's']","[('John', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US64769A,1867-05-14,John s ,"['John', 's']","[('John', 'NNP'), ('s', 'NN')]",1,"['PROPN', 'PART']",['PERSON'],1,1,2
US64772A,1867-05-14,Solomon kepnett ,"['Solomon', 'kepnett']","[('Solomon', 'NNP'), ('kepnett', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
