patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US67511A,1867-08-06,Maecellus y ,"['Maecellus', 'y']","[('Maecellus', 'NNP'), ('y', 'NN')]",1,"['CCONJ', 'PRON']",[],0,0,2,0,1
US67539A,1867-08-06,of mentob ,"['of', 'mentob']","[('of', 'IN'), ('mentob', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US67583A,1867-08-06,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US67649A,1867-08-13,of stockbeidge ,"['of', 'stockbeidge']","[('of', 'IN'), ('stockbeidge', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US67658A,1867-08-13,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
US67788A,1867-08-13,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US67836A,1867-08-20,a lex andes ,"['a', 'lex', 'andes']","[('a', 'DT'), ('lex', 'JJ'), ('andes', 'NNS')]",0,"['DET', 'NOUN', 'NOUN']",[],0,0,3,0,1
US67864A,1867-08-20,And be foubert ,"['And', 'be', 'foubert']","[('And', 'CC'), ('be', 'VB'), ('foubert', 'JJ')]",0,"['CCONJ', 'AUX', 'ADJ']",[],0,0,3,0,1
US68090A,1867-08-27,The graphic co ,"['The', 'graphic', 'co']","[('The', 'DT'), ('graphic', 'JJ'), ('co', 'NN')]",0,"['DET', 'ADJ', 'NOUN']",[],0,0,3,0,1
US68262A,1867-08-27,of helena ,"['of', 'helena']","[('of', 'IN'), ('helena', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US68445A,1867-09-03,Of kbokuk ,"['Of', 'kbokuk']","[('Of', 'IN'), ('kbokuk', 'NN')]",0,"['ADP', 'VERB']",[],0,0,2,0,1
US68447A,1867-09-03,of homer ,"['of', 'homer']","[('of', 'IN'), ('homer', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
