patent_number,date,title
US300439A,1884-06-17,Thomas t 
US300440A,1884-06-17,Samuel blitz 
US300441A,1884-06-17,George eoest 
US300442A,1884-06-17,Ciiakles eowsky 
US300443A,1884-06-17,Means for utilizing compressed air as a motive power 
US300444A,1884-06-17,Assigsdb of oxe-half to 
US300445A,1884-06-17,Luke chapman 
US300446A,1884-06-17,comstock 
US300447A,1884-06-17,Scrubber 
US300448A,1884-06-17,James m 
US300449A,1884-06-17,Cartridge-shell 
US300450A,1884-06-17,Oil-can 
US300451A,1884-06-17,William dowattam 
US300452A,1884-06-17,eaton  
US300453A,1884-06-17,edwards 
US300454A,1884-06-17,Truss 
US300455A,1884-06-17,Nelson taught 
US300456A,1884-06-17,Assigkob to johnsox 
US300457A,1884-06-17,Daniel e 
US300458A,1884-06-17,follett 
US300459A,1884-06-17,Chables a 
US300460A,1884-06-17,Hog-cholera medicine 
US300461A,1884-06-17,John gibbons 
US300462A,1884-06-17,Spindle bolstee 
US300463A,1884-06-17,Coke-oven 
US300464A,1884-06-17,Compound material for the manufacture of sheets 
US300465A,1884-06-17,Thomas hale 
US300466A,1884-06-17,hanlon 
US300467A,1884-06-17,John j 
US300468A,1884-06-17,haskell  
US300469A,1884-06-17,De witt c 
US300470A,1884-06-17,Conduit for electric wires 
US300471A,1884-06-17,Ballast for vessels 
US300472A,1884-06-17,higbee 
US300473A,1884-06-17,Mathias j 
US300474A,1884-06-17,Waeeee  ide 
US300475A,1884-06-17,Aloxzo joiixsox 
US300476A,1884-06-17,Refrigerating package for shipping and preserving butter 
US300477A,1884-06-17,Half to henry s 
US300478A,1884-06-17,Heineich kayseb 
US300479A,1884-06-17,Teeeitoet 
US300480A,1884-06-17,Pin for venting cores 
US300481A,1884-06-17,Jacob kbtzek 
US300482A,1884-06-17,Machine 
US300483A,1884-06-17,Shaft-bearing for looms 
US300484A,1884-06-17,Concentrator 
US300485A,1884-06-17,Frank l 
US300486A,1884-06-17,Teeeitoey 
US300487A,1884-06-17,Revolving double trapeze 
US300488A,1884-06-17,Inyentoe 
US300489A,1884-06-17,leyer 
US300490A,1884-06-17,Charles s 
US300491A,1884-06-17,Speed clock foe machinery 
US300492A,1884-06-17,Cable-grip 
US300493A,1884-06-17,Extension ohandeliee 
US300494A,1884-06-17,Signments 
US300495A,1884-06-17,Adolf nascher 
US300496A,1884-06-17,Hand-truck 
US300497A,1884-06-17,Apparatus for treating leather-stock with naphtha to extract oils 
US300498A,1884-06-17,Howaed paddock and hebman waltee millbb 
US300499A,1884-06-17,Nolds 
US300500A,1884-06-17,Waeeek 
US300501A,1884-06-17,Stop-cock clamp 
US300502A,1884-06-17,Side-hill plow 
US300503A,1884-06-17,eascoe 
US300504A,1884-06-17,Utilizing the exhaust of engines 
US300505A,1884-06-17,Utilizing the exhaust of engines 
US300506A,1884-06-17,Utilizing exhaust-steam 
US300507A,1884-06-17,Egbert b 
US300508A,1884-06-17,Glove-fastening 
US300509A,1884-06-17,Fastening for gloves 
US300510A,1884-06-17,Asbignob to 
US300511A,1884-06-17,Combined water-cooler and refrigerator 
US300512A,1884-06-17,Ballot-box 
US300513A,1884-06-17,James eoughan 
US300514A,1884-06-17,Folding egg-case 
US300515A,1884-06-17,Alois schheidbe 
US300516A,1884-06-17,Edwaed kichabd settle 
US300517A,1884-06-17,Machine for making fences 
US300518A,1884-06-17,Combined chain and elevator-bucket 
US300519A,1884-06-17,Makee 
US300520A,1884-06-17,Camdeist county 
US300521A,1884-06-17,Tile or brick for floors 
US300522A,1884-06-17,Attoekets 
US300523A,1884-06-17,Eli tl starr 
US300524A,1884-06-17,stare 
US300525A,1884-06-17,Eleotbio light 
US300526A,1884-06-17,Maetik l 
US300527A,1884-06-17,Joseph steubel 
US300528A,1884-06-17,Springs 
US300529A,1884-06-17,sutherland 
US300530A,1884-06-17,Grinding-mill 
US300531A,1884-06-17,Sewing-machine attachment 
US300532A,1884-06-17,Automatic electrical cut-out 
US300533A,1884-06-17,Gage for adjusting plan er-kn 
US300534A,1884-06-17,Game-board for producing magic squares 
US300535A,1884-06-17,Dynamo-electric machine 
US300536A,1884-06-17,walkee 
US300537A,1884-06-17,wallace 
US300538A,1884-06-17,waring 
US300539A,1884-06-17,waewick 
US300540A,1884-06-17,Supply-valve for water-closets 
US300541A,1884-06-17,Frakk arthur weeks 
US300542A,1884-06-17,wells 
US300543A,1884-06-17,Geoege westinghouse 
US300544A,1884-06-17,Joseph white 
US300545A,1884-06-17,Centrifugal drainer 
US300546A,1884-06-17,williams 
US300547A,1884-06-17,Half to charles green 
US300548A,1884-06-17,Assigxoe of one 
US300549A,1884-06-17,Half to charles green 
