patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US1693687A,1928-12-04,wildhaber,['wildhaber'],"[('wildhaber', 'NN')]",['NOUN'],[],0,0,1,0
US1693829A,1928-12-04,Poration,['Poration'],"[('Poration', 'NN')]",['NOUN'],[],0,0,1,0
US1693945A,1928-12-04,Valve,['Valve'],"[('Valve', 'VB')]",['VERB'],[],0,0,1,0
US1694028A,1928-12-04,wildhaber,['wildhaber'],"[('wildhaber', 'NN')]",['NOUN'],[],0,0,1,0
US1694088A,1928-12-04,wolkowich,['wolkowich'],"[('wolkowich', 'NN')]",['NOUN'],[],0,0,1,0
US1694179A,1928-12-04,jenks,['jenks'],"[('jenks', 'NNS')]",['NOUN'],[],0,0,1,0
US1694302A,1928-12-04,alexandersofm,['alexandersofm'],"[('alexandersofm', 'NN')]",['NOUN'],[],0,0,1,0
US1694428A,1928-12-11,Aware,['Aware'],"[('Aware', 'JJ')]",['INTJ'],[],0,0,1,0
US1694622A,1928-12-11,lindquist,['lindquist'],"[('lindquist', 'NN')]",['NOUN'],[],0,0,1,0
US1694763A,1928-12-11,Palmes,['Palmes'],"[('Palmes', 'NNS')]",['NOUN'],[],0,0,1,0
US1694778A,1928-12-11,haseltine,['haseltine'],"[('haseltine', 'NN')]",['NOUN'],[],0,0,1,0
US1694816A,1928-12-11,Porated,['Porated'],"[('Porated', 'VBN')]",['VERB'],[],0,0,1,0
US1694899A,1928-12-11,missoubi,['missoubi'],"[('missoubi', 'NN')]",['ADJ'],[],0,0,1,0
US1694935A,1928-12-11,Chair,['Chair'],"[('Chair', 'NN')]",['NOUN'],[],0,0,1,0
US1695166A,1928-12-11,Holder,['Holder'],"[('Holder', 'NN')]",['NOUN'],['ORG'],0,0,1,0
US1695249A,1928-12-11,Signors,['Signors'],"[('Signors', 'NNS')]",['NOUN'],[],0,0,1,0
US1695261A,1928-12-11,Aaaaamaaaa,['Aaaaamaaaa'],"[('Aaaaamaaaa', 'NN')]",['ADV'],[],0,0,1,0
US1695277A,1928-12-18,Conveyer,['Conveyer'],"[('Conveyer', 'NN')]",['NOUN'],[],0,0,1,0
US1695471A,1928-12-18,roucka,['roucka'],"[('roucka', 'NN')]",['NOUN'],[],0,0,1,0
US1695650A,1928-12-18,Sbance,['Sbance'],"[('Sbance', 'NN')]",['NOUN'],[],0,0,1,0
US1695652A,1928-12-18,green,['green'],"[('green', 'JJ')]",['ADJ'],[],0,0,1,0
US1695778A,1928-12-18,Electkicaz,['Electkicaz'],"[('Electkicaz', 'NN')]",['NOUN'],[],0,0,1,0
US1695828A,1928-12-18,stqkely,['stqkely'],"[('stqkely', 'RB')]",['ADV'],[],0,0,1,0
US1695852A,1928-12-18,leathers,['leathers'],"[('leathers', 'NNS')]",['NOUN'],[],0,0,1,0
US1696052A,1928-12-18,ovtschinnikoff,['ovtschinnikoff'],"[('ovtschinnikoff', 'NN')]",['ADV'],[],0,0,1,0
US1696206A,1928-12-25,lange,['lange'],"[('lange', 'NN')]",['VERB'],[],0,0,1,0
US1696213A,1928-12-25,Ceusher,['Ceusher'],"[('Ceusher', 'NN')]",['NOUN'],[],0,0,1,0
US1696368A,1928-12-25,strouse,['strouse'],"[('strouse', 'NN')]",['VERB'],[],0,0,1,0
US1696808A,1928-12-25,matson,['matson'],"[('matson', 'NN')]",['NOUN'],[],0,0,1,0
US1696832A,1928-12-25,Combined,['Combined'],"[('Combined', 'VBN')]",['VERB'],[],0,0,1,0
US1696853A,1928-12-25,Tkunk,['Tkunk'],"[('Tkunk', 'NN')]",['ADJ'],[],0,0,1,0
US1696858A,1928-12-25,Tions,['Tions'],"[('Tions', 'NNS')]",['NOUN'],[],0,0,1,0
US1696900A,1929-01-01,baily,['baily'],"[('baily', 'RB')]",['ADV'],[],0,0,1,0
US1696910A,1929-01-01,gilpin,['gilpin'],"[('gilpin', 'NN')]",['ADJ'],[],0,0,1,0
US1696951A,1929-01-01,Poration,['Poration'],"[('Poration', 'NN')]",['NOUN'],[],0,0,1,0
US1697031A,1929-01-01,tiranty,['tiranty'],"[('tiranty', 'NN')]",['NOUN'],[],0,0,1,0
US1697135A,1929-01-01,nuttall,['nuttall'],"[('nuttall', 'NN')]",['NOUN'],[],0,0,1,0
US1697159A,1929-01-01,ieattv,['ieattv'],"[('ieattv', 'NN')]",['NOUN'],[],0,0,1,0
US1697258A,1929-01-01,Static,['Static'],"[('Static', 'JJ')]",['ADJ'],[],0,0,1,0
US1697369A,1929-01-01,usance,['usance'],"[('usance', 'NN')]",['NOUN'],[],0,0,1,0
US1697372A,1929-01-01,Machine,['Machine'],"[('Machine', 'NN')]",['NOUN'],[],0,0,1,0
US1697410A,1929-01-01,bauer,['bauer'],"[('bauer', 'NN')]",['VERB'],[],0,0,1,0
US1697422A,1929-01-01,gouverneur,['gouverneur'],"[('gouverneur', 'NN')]",['NOUN'],[],0,0,1,0
US1698056A,1929-01-08,jeffries,['jeffries'],"[('jeffries', 'NNS')]",['NOUN'],[],0,0,1,0
US1698083A,1929-01-08,booth,['booth'],"[('booth', 'NN')]",['NOUN'],[],0,0,1,0
US1698090A,1929-01-08,grether,['grether'],"[('grether', 'NN')]",['VERB'],[],0,0,1,0
US1698118A,1929-01-08,barrows,['barrows'],"[('barrows', 'NNS')]",['NOUN'],[],0,0,1,0
US1698135A,1929-01-08,Fttenace,['Fttenace'],"[('Fttenace', 'NN')]",['NOUN'],[],0,0,1,0
US1698346A,1929-01-08,puening,['puening'],"[('puening', 'VBG')]",['VERB'],[],0,0,1,0
US1698349A,1929-01-08,puening,['puening'],"[('puening', 'VBG')]",['VERB'],[],0,0,1,0
US1698366A,1929-01-08,Assigkktob,['Assigkktob'],"[('Assigkktob', 'NN')]",['ADJ'],[],0,0,1,0
US1698438A,1929-01-08,Spotlight,['Spotlight'],"[('Spotlight', 'NN')]",['NOUN'],[],0,0,1,0
US1698622A,1929-01-08,cttbtin,['cttbtin'],"[('cttbtin', 'NN')]",['NOUN'],[],0,0,1,0
US1698710A,1929-01-15,bohlman,['bohlman'],"[('bohlman', 'NN')]",['NOUN'],[],0,0,1,0
US1698756A,1929-01-15,Device,['Device'],"[('Device', 'NN')]",['NOUN'],[],0,0,1,0
US1698806A,1929-01-15,Ments,['Ments'],"[('Ments', 'NNS')]",['NOUN'],[],0,0,1,0
US1698838A,1929-01-15,Attrition,['Attrition'],"[('Attrition', 'NN')]",['NOUN'],[],0,0,1,0
US1699112A,1929-01-15,maorae,['maorae'],"[('maorae', 'NN')]",['NOUN'],[],0,0,1,0
US1699147A,1929-01-15,knowles,['knowles'],"[('knowles', 'NNS')]",['NOUN'],[],0,0,1,0
US1699179A,1929-01-15,Deaps,['Deaps'],"[('Deaps', 'NNS')]",['VERB'],[],0,0,1,0
US1699189A,1929-01-15,Doorcheck,['Doorcheck'],"[('Doorcheck', 'NN')]",['NOUN'],[],0,0,1,0
US1699200A,1929-01-15,Assiqnob,['Assiqnob'],"[('Assiqnob', 'NN')]",['ADJ'],[],0,0,1,0
US1699202A,1929-01-15,karnes,['karnes'],"[('karnes', 'NNS')]",['NOUN'],[],0,0,1,0
US1699307A,1929-01-15,north,['north'],"[('north', 'NN')]",['ADV'],[],0,0,1,0
US1699585A,1929-01-22,earues,['earues'],"[('earues', 'NNS')]",['NOUN'],[],0,0,1,0
US1699612A,1924-11-04,belgium,['belgium'],"[('belgium', 'NN')]",['NOUN'],['GPE'],0,0,1,0
US1699863A,1929-01-22,stoddard,['stoddard'],"[('stoddard', 'NN')]",['ADJ'],[],0,0,1,0
US1699952A,1929-01-22,church,['church'],"[('church', 'NN')]",['NOUN'],[],0,0,1,0
