patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1617528A,1926-11-04,Anchor,['Anchor'],"[('Anchor', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617529A,1926-05-24,Sleigh,['Sleigh'],"[('Sleigh', 'JJ')]","['PROPN', 'SPACE']",[],1,0,2
US1617545A,1926-06-03,Atomizer,['Atomizer'],"[('Atomizer', 'NN')]","['PROPN', 'SPACE']",['PRODUCT'],1,0,2
US1617550A,1926-02-20,Kiln,['Kiln'],"[('Kiln', 'NNP')]","['PROPN', 'SPACE']",[],1,0,2
US1617572A,1927-02-15,cameron,['cameron'],"[('cameron', 'NN')]",['PROPN'],[],1,0,1
US1617576A,1927-02-15,of chicago,"['of', 'chicago']","[('of', 'IN'), ('chicago', 'NN')]","['ADP', 'PROPN']",['GPE'],1,0,2
US1617595A,1921-11-21,Lantern,['Lantern'],"[('Lantern', 'JJ')]","['PROPN', 'SPACE']",[],1,0,2
US1617629A,1923-12-04,Valise,['Valise'],"[('Valise', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617655A,1925-10-13,Dcorlock,['Dcorlock'],"[('Dcorlock', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617662A,1926-04-20,Trammel,['Trammel'],"[('Trammel', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617714A,1925-04-27,Semitrailer,['Semitrailer'],"[('Semitrailer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617717A,1926-03-18,Clutch,['Clutch'],"[('Clutch', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617744A,1922-11-22,Burner,['Burner'],"[('Burner', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617775A,1927-02-15,Iivtbiana,['Iivtbiana'],"[('Iivtbiana', 'NNP')]",['PROPN'],['ORG'],1,0,1
US1617818A,1925-05-07,Fastener,['Fastener'],"[('Fastener', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617883A,1925-09-01,Fencepost,['Fencepost'],"[('Fencepost', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617894A,1925-03-16,Reflector,['Reflector'],"[('Reflector', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617918A,1925-03-06,Turnstile,['Turnstile'],"[('Turnstile', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617948A,1926-04-21,Clasp,['Clasp'],"[('Clasp', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617976A,1926-07-02,Kite,['Kite'],"[('Kite', 'NNP')]","['PROPN', 'SPACE']",[],1,0,2
US1617977A,1925-04-25,Strainer,['Strainer'],"[('Strainer', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617980A,1925-07-31,Hairpin,['Hairpin'],"[('Hairpin', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1617988A,1925-05-27,Feeder,['Feeder'],"[('Feeder', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618001A,1922-12-27,Press,['Press'],"[('Press', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618010A,1925-10-09,Headlight,['Headlight'],"[('Headlight', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618014A,1924-04-03,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618015A,1923-10-08,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618018A,1927-02-15,Transmitter apparatus,"['Transmitter', 'apparatus']","[('Transmitter', 'NN'), ('apparatus', 'NN')]","['PROPN', 'NOUN']",[],1,0,2
US1618032A,1926-10-30,Splashboard,['Splashboard'],"[('Splashboard', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618072A,1924-10-07,Trolley,['Trolley'],"[('Trolley', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618074A,1926-05-07,Pulley,['Pulley'],"[('Pulley', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
