patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,is_inventor
US1605809A,1926-11-02,Jacob l,"['jacob', 'l']","[('Jacob', 'NNP'), ('l', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1605811A,1926-11-02,danielson,['danielson'],"[('danielson', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1605815A,1926-11-02,Joseph dekuy,"['joseph', 'dekuy']","[('Joseph', 'NNP'), ('dekuy', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1605835A,1926-11-02,hamilton,['hamilton'],"[('hamilton', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1605836A,1926-11-02,Fabrik,['fabrik'],"[('Fabrik', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1605866A,1926-11-02,hew yoek,"['hew', 'yoek']","[('hew', 'NN'), ('yoek', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1605895A,1925-08-06,Xslahb,['xslahb'],"[('Xslahb', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1605986A,1926-11-09,redfield,['redfield'],"[('redfield', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1605988A,1926-11-09,op bolton,"['op', 'bolton']","[('op', 'IN'), ('bolton', 'NN')]","['NOUN', 'PROPN']",['PERSON'],1,1,2,1
US1605995A,1926-11-09,Blowee,['blowee'],"[('Blowee', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1606013A,1926-11-09,Robert g,"['robert', 'g']","[('Robert', 'NNP'), ('g', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1606036A,1926-11-09,Calogeeo mtjuia,"['calogeeo', 'mtjuia']","[('Calogeeo', 'NNP'), ('mtjuia', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1606038A,1926-11-09,Max norman,"['max', 'norman']","[('Max', 'NNP'), ('norman', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1606039A,1926-11-09,Max norman,"['max', 'norman']","[('Max', 'NNP'), ('norman', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1606330A,1926-11-09,Edward b,"['edward', 'b']","[('Edward', 'NNP'), ('b', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1606469A,1926-11-09,John s,"['john', 's']","[('John', 'NNP'), ('s', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1606504A,1926-11-09,Edward l,"['edward', 'l']","[('Edward', 'NNP'), ('l', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1607140A,1926-11-16,Keinhold h,"['keinhold', 'h']","[('Keinhold', 'NNP'), ('h', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1607551A,1926-11-16,hew jeesey,"['hew', 'jeesey']","[('hew', 'NN'), ('jeesey', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1607640A,1926-11-23,Heateb cowtbol,"['heateb', 'cowtbol']","[('Heateb', 'NNP'), ('cowtbol', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1607758A,1926-11-23,John junkunc,"['john', 'junkunc']","[('John', 'NNP'), ('junkunc', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1608199A,1926-11-23,Said wilson,"['said', 'wilson']","[('Said', 'NNP'), ('wilson', 'NN')]","['VERB', 'NOUN']",['PERSON'],0,1,2,1
US1608280A,1926-11-23,Antiskid bblt,"['antiskid', 'bblt']","[('Antiskid', 'NNP'), ('bblt', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1608518A,1926-11-30,William mineath,"['william', 'mineath']","[('William', 'NNP'), ('mineath', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1608826A,1926-11-30,Hotjse electeic,"['hotjse', 'electeic']","[('Hotjse', 'NNP'), ('electeic', 'NN')]","['PROPN', 'ADJ']",['PERSON'],1,1,2,1
US1609359A,1926-12-07,humphrey,['humphrey'],"[('humphrey', 'NN')]",['VERB'],['PERSON'],0,1,1,1
US1609454A,1926-12-07,barratt,['barratt'],"[('barratt', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1609965A,1926-12-07,Donald,['donald'],"[('Donald', 'NNP')]",['PROPN'],['PERSON'],1,1,2,1
US1610118A,1926-12-07,brockett,['brockett'],"[('brockett', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1610297A,1926-12-14,Vibkatoey convebtee,"['vibkatoey', 'convebtee']","[('Vibkatoey', 'NNP'), ('convebtee', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1610445A,1926-12-14,William f,"['william', 'f']","[('William', 'NNP'), ('f', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1611415A,1926-12-21,cheney,['cheney'],"[('cheney', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1611775A,1926-12-21,louis,['louis'],"[('louis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1612192A,1926-12-28,johnson,['johnson'],"[('johnson', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1612933A,1927-01-04,metzgar,['metzgar'],"[('metzgar', 'NN')]",['NOUN'],['PERSON'],0,1,1,1
US1614351A,1927-01-11,davis,['davis'],"[('davis', 'NN')]",['PROPN'],['PERSON'],1,1,1,1
US1614647A,1924-12-12,Recooler,['recooler'],"[('Recooler', 'NN')]",['PROPN'],['PERSON'],1,1,2,1
US1615870A,1927-02-01,Arthur w,"['arthur', 'w']","[('Arthur', 'NNP'), ('w', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1616103A,1927-02-01,James hill,"['james', 'hill']","[('James', 'NNP'), ('hill', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1616282A,1927-02-01,Kabl schbanz,"['kabl', 'schbanz']","[('Kabl', 'NNP'), ('schbanz', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1616321A,1927-02-01,John j,"['john', 'j']","[('John', 'NNP'), ('j', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1616360A,1927-02-01,William foster,"['william', 'foster']","[('William', 'NNP'), ('foster', 'NN')]","['PROPN', 'NOUN']",['PERSON'],1,1,2,1
US1616561A,1927-02-08,van ackeren,"['van', 'ackeren']","[('van', 'NN'), ('ackeren', 'NNS')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1616614A,1927-02-08,Egbert edwardson,"['egbert', 'edwardson']","[('Egbert', 'NNP'), ('edwardson', 'NN')]","['NOUN', 'NOUN']",['PERSON'],0,1,2,1
US1616695A,1927-02-08,Kelson littell,"['kelson', 'littell']","[('Kelson', 'NNP'), ('littell', 'NN')]","['PROPN', 'VERB']",['PERSON'],1,1,2,1
US1616698A,1927-02-08,David miller,"['david', 'miller']","[('David', 'NNP'), ('miller', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
US1617093A,1927-02-08,Howard d,"['howard', 'd']","[('Howard', 'NNP'), ('d', 'NN')]","['PROPN', 'PROPN']",['PERSON'],1,1,2,1
