patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US1668958A,1928-05-08,A cobpoba-x ,"['A', 'cobpoba-x']","[('A', 'DT'), ('cobpoba-x', 'NN')]","['DET', 'ADJ', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US1668979A,1928-05-08,of rochester ,"['of', 'rochester']","[('of', 'IN'), ('rochester', 'NN')]","['ADP', 'ADJ']",[],0,0,2,0,1
US1669619A,1928-05-15,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1670059A,1928-05-15,of basel ,"['of', 'basel']","[('of', 'IN'), ('basel', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1670365A,1928-05-22,And herman g ,"['And', 'herman', 'g']","[('And', 'CC'), ('herman', 'NN'), ('g', 'NN')]","['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US1671076A,1928-05-22,A corpobation of dela ,"['A', 'corpobation', 'of', 'dela']","[('A', 'DT'), ('corpobation', 'NN'), ('of', 'IN'), ('dela', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",['GPE'],0,0,4,0,1
US1671454A,1926-10-04,"Inside safety door fastener 
     ","['Inside', 'safety', 'door', 'fastener']","[('Inside', 'NNP'), ('safety', 'NN'), ('door', 'NN'), ('fastener', 'NN')]","['ADP', 'NOUN', 'NOUN', 'NOUN', 'SPACE']",[],0,0,5,0,1
US1671968A,1928-06-05,Of endicott ,"['Of', 'endicott']","[('Of', 'IN'), ('endicott', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1672009A,1928-06-05,Of endicott ,"['Of', 'endicott']","[('Of', 'IN'), ('endicott', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1672907A,1928-06-12,A cobpobation ,"['A', 'cobpobation']","[('A', 'DT'), ('cobpobation', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1674007A,1928-06-19,of bochitm ,"['of', 'bochitm']","[('of', 'IN'), ('bochitm', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1674564A,1928-06-19,To e ijpbbioe hotob coach body co ,"['To', 'e', 'ijpbbioe', 'hotob', 'coach', 'body', 'co']","[('To', 'TO'), ('e', 'VB'), ('ijpbbioe', 'JJ'), ('hotob', 'JJ'), ('coach', 'NN'), ('body', 'NN'), ('co', 'NN')]","['ADP', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB']",[],0,0,7,0,1
US1675506A,1928-07-03,A cobpobation of pennsyt ,"['A', 'cobpobation', 'of', 'pennsyt']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('pennsyt', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US1676148A,1928-07-03,A cobpoeation of mas ,"['A', 'cobpoeation', 'of', 'mas']","[('A', 'DT'), ('cobpoeation', 'NN'), ('of', 'IN'), ('mas', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US1676253A,1928-07-10,A cobpgbation of ,"['A', 'cobpgbation', 'of']","[('A', 'DT'), ('cobpgbation', 'NN'), ('of', 'IN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1676297A,1928-07-10,A cobpoeation of new ,"['A', 'cobpoeation', 'of', 'new']","[('A', 'DT'), ('cobpoeation', 'NN'), ('of', 'IN'), ('new', 'JJ')]","['DET', 'NOUN', 'ADP', 'ADJ']",[],0,0,4,0,1
US1676353A,1928-07-10,A cobpoeation ,"['A', 'cobpoeation']","[('A', 'DT'), ('cobpoeation', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1676744A,1928-07-10,To wireless ,"['To', 'wireless']","[('To', 'TO'), ('wireless', 'VB')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1676853A,1924-03-21,Of one-halei to clemens ,"['Of', 'one-halei', 'to', 'clemens']","[('Of', 'IN'), ('one-halei', 'JJ'), ('to', 'TO'), ('clemens', 'VB')]","['ADP', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'NOUN']",['CARDINAL'],0,0,6,0,1
US1676913A,1928-07-10,A corpoba ,"['A', 'corpoba']","[('A', 'DT'), ('corpoba', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1676991A,1928-07-10,A gobi-ora ,"['A', 'gobi-ora']","[('A', 'DT'), ('gobi-ora', 'JJ')]","['DET', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US1677005A,1928-07-10,A corpora ,"['A', 'corpora']","[('A', 'DT'), ('corpora', 'NN')]","['DET', 'X']",[],0,0,2,0,1
US1677090A,1928-07-10,A cobpobation of new ,"['A', 'cobpobation', 'of', 'new']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('new', 'JJ')]","['DET', 'NOUN', 'ADP', 'ADJ']",[],0,0,4,0,1
US1677148A,1926-10-29,"By-pass valve for gas-washing apparatus 
     ","['By-pass', 'valve', 'for', 'gas-washing', 'apparatus']","[('By-pass', 'NNP'), ('valve', 'NN'), ('for', 'IN'), ('gas-washing', 'JJ'), ('apparatus', 'NN')]","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'SPACE']",[],0,0,10,0,1
US1678012A,1928-07-24,A cobfobation of massachu ,"['A', 'cobfobation', 'of', 'massachu']","[('A', 'DT'), ('cobfobation', 'NN'), ('of', 'IN'), ('massachu', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",['GPE'],0,0,4,0,1
US1678048A,1928-07-24,A cobpobation of wis ,"['A', 'cobpobation', 'of', 'wis']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN'), ('wis', 'NN')]","['DET', 'NOUN', 'ADP', 'NOUN']",[],0,0,4,0,1
US1678547A,1926-05-24,of hartford ,"['of', 'hartford']","[('of', 'IN'), ('hartford', 'NN')]","['ADP', 'NOUN']",['GPE'],0,0,2,0,1
US1678717A,1928-07-31,A cobpobation ,"['A', 'cobpobation']","[('A', 'DT'), ('cobpobation', 'NN')]","['DET', 'NOUN']",[],0,0,2,0,1
US1678907A,1928-07-31,of noebistown ,"['of', 'noebistown']","[('of', 'IN'), ('noebistown', 'JJ')]","['ADP', 'NOUN']",[],0,0,2,0,1
US1679918A,1928-08-07,of whiting ,"['of', 'whiting']","[('of', 'IN'), ('whiting', 'VBG')]","['ADP', 'VERB']",[],0,0,2,0,1
US1679919A,1928-08-07,of whiting ,"['of', 'whiting']","[('of', 'IN'), ('whiting', 'VBG')]","['ADP', 'VERB']",[],0,0,2,0,1
US1679966A,1928-08-07,of rochester ,"['of', 'rochester']","[('of', 'IN'), ('rochester', 'NN')]","['ADP', 'ADJ']",[],0,0,2,0,1
US1680328A,1927-02-12,"By-pass lubricator 
     ","['By-pass', 'lubricator']","[('By-pass', 'NNP'), ('lubricator', 'NN')]","['ADP', 'PUNCT', 'NOUN', 'NOUN', 'SPACE']",[],0,0,5,0,1
US1680421A,1928-08-14,A cobpobation of ,"['A', 'cobpobation', 'of']","[('A', 'DT'), ('cobpobation', 'NN'), ('of', 'IN')]","['DET', 'NOUN', 'ADP']",[],0,0,3,0,1
US1680778A,1926-05-29,of basel ,"['of', 'basel']","[('of', 'IN'), ('basel', 'NN')]","['ADP', 'NOUN']",[],0,0,2,0,1
