patent_number,date,title,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,tokens,is_inventor
US2759A,1842-08-25 00:00:00,baldwin,['VERB'],['PERSON'],0,1,1,['baldwin'],1
US2765A,1842-08-31 00:00:00,Francis degbn,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['francis', 'degbn']",1
US2773A,1842-09-03 00:00:00,Stevens,['NOUN'],['PERSON'],0,1,1,['stevens'],1
US2780A,1842-09-17 00:00:00,John c,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'c']",1
US2790A,1842-09-30 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US2794A,1842-09-30 00:00:00,ariel norris,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['ariel', 'norris']",1
US2818A,1842-10-17 00:00:00,pagett,['PROPN'],['PERSON'],1,1,1,['pagett'],1
US2821A,1842-10-17 00:00:00,Peters,['PROPN'],['PERSON'],1,1,1,['peters'],1
US2822A,1842-10-17 00:00:00,James pitts,"['PROPN', 'NOUN']",['PERSON'],1,1,2,"['james', 'pitts']",1
US2837A,1842-11-04 00:00:00,John hemming,"['PROPN', 'VERB']",['PERSON'],1,1,2,"['john', 'hemming']",1
US2842A,1842-11-04 00:00:00,John w,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'w']",1
US2859A,1842-11-21 00:00:00,Joshua s,"['PROPN', 'PART']",['PERSON'],1,1,2,"['joshua', 's']",1
US2863A,1842-11-28 00:00:00,john j,"['PROPN', 'PROPN']",['PERSON'],1,1,2,"['john', 'j']",1
